Width,Drop,Cost,ID,prID
1310,2400,104.88,600471,3,
1310,2500,108.27,600490,3,
1310,2600,111.67,600508,3,
1310,2700,115.06,600525,3,
1310,2800,118.46,600542,3,
1310,2900,121.85,600558,3,
1310,3000,125.25,600573,3,
1310,3100,128.64,600587,3,
1310,3200,132.04,600601,3,
1410,600,47.6,600130,3,
1410,700,51.46,600149,3,
1410,800,52.37,600168,3,
1410,900,56.02,600187,3,
1410,1000,59.66,600206,3,
1410,1100,63.31,600225,3,
1410,1200,66.95,600244,3,
1410,1300,70.6,600263,3,
1410,1400,74.24,600282,3,
1410,1500,77.89,600301,3,
1410,1600,81.53,600320,3,
1410,1700,85.18,600339,3,
1410,1800,88.82,600358,3,
1410,1900,92.47,600377,3,
1410,2000,96.11,600396,3,
1410,2100,99.76,600415,3,
1410,2200,103.4,600434,3,
1410,2300,107.05,600453,3,
1410,2400,111.73,600472,3,
1410,2500,115.38,600491,3,
1410,2600,119.02,600509,3,
1410,2700,122.67,600526,3,
1410,2800,126.31,600543,3,
1410,2900,129.96,600559,3,
1410,3000,133.6,600574,3,
1410,3100,137.25,600588,3,
1410,3200,140.89,600602,3,
1510,600,50.08,600131,3,
1510,700,51.32,600150,3,
1510,800,55.21,600169,3,
1510,900,59.1,600188,3,
1510,1000,63,600207,3,
1510,1100,66.89,600226,3,
1510,1200,70.79,600245,3,
1510,1300,74.68,600264,3,
1510,1400,78.58,600283,3,
1510,1500,82.47,600302,3,
1510,1600,86.37,600321,3,
1510,1700,90.26,600340,3,
1510,1800,94.16,600359,3,
1510,1900,98.05,600378,3,
1510,2000,101.95,600397,3,
1510,2100,105.84,600416,3,
1510,2200,109.74,600435,3,
1510,2300,113.63,600454,3,
1510,2400,118.57,600473,3,
1510,2500,122.46,600492,3,
1510,2600,126.36,600510,3,
1510,2700,130.25,600527,3,
1510,2800,134.15,600544,3,
1510,2900,138.04,600560,3,
1510,3000,141.93,600575,3,
1510,3100,145.83,600589,3,
1510,3200,149.72,600603,3,
1610,600,52.56,600132,3,
1610,700,53.9,600151,3,
1610,800,58.05,600170,3,
1610,900,62.19,600189,3,
1610,1000,66.34,600208,3,
