Width,Drop,Cost,ID,prID
610,600,19.95,1887630,5,
610,700,21.36,1887652,5,
610,800,22.77,1887674,5,
610,900,24.18,1887696,5,
610,1000,25.59,1887718,5,
610,1100,27,1887740,5,
610,1200,28.41,1887762,5,
610,1300,29.82,1887784,5,
610,1400,31.23,1887806,5,
610,1500,32.64,1887828,5,
610,1600,34.05,1887850,5,
610,1700,33.57,1887872,5,
610,1800,35.47,1887894,5,
610,1900,36.8,1887916,5,
610,2000,38.13,1887938,5,
610,2100,39.46,1887960,5,
610,2200,40.79,1887982,5,
610,2300,42.12,1888004,5,
610,2400,44.32,1888026,5,
610,2500,45.65,1888048,5,
610,2600,46.98,1888066,5,
610,2700,48.31,1888083,5,
610,2800,49.64,1888100,5,
610,2900,50.97,1888116,5,
610,3000,52.3,1888131,5,
610,3100,53.63,1888145,5,
610,3200,54.96,1888159,5,
610,3300,56.29,4304483,5,
610,3400,57.62,4304484,5,
710,600,22.82,1887631,5,
710,700,24.47,1887653,5,
710,800,26.11,1887675,5,
710,900,27.75,1887697,5,
710,1000,29.39,1887719,5,
710,1100,31.04,1887741,5,
710,1200,32.68,1887763,5,
710,1300,34.32,1887785,5,
710,1400,35.96,1887807,5,
710,1500,35.59,1887829,5,
710,1600,37.14,1887851,5,
710,1700,38.69,1887873,5,
710,1800,40.81,1887895,5,
710,1900,42.36,1887917,5,
710,2000,43.91,1887939,5,
710,2100,45.46,1887961,5,
710,2200,47.01,1887983,5,
710,2300,48.56,1888005,5,
710,2400,50.97,1888027,5,
710,2500,52.52,1888049,5,
710,2600,54.07,1888067,5,
710,2700,55.62,1888084,5,
710,2800,57.17,1888101,5,
710,2900,58.72,1888117,5,
710,3000,60.27,1888132,5,
710,3100,61.82,1888146,5,
710,3200,63.37,1888160,5,
710,3300,64.92,4304485,5,
710,3400,66.47,4304486,5,
810,600,24.88,1887632,5,
810,700,26.74,1887654,5,
810,800,28.6,1887676,5,
810,900,30.47,1887698,5,
810,1000,32.33,1887720,5,
810,1100,34.19,1887742,5,
810,1200,36.05,1887764,5,
810,1300,35.88,1887786,5,
810,1400,37.64,1887808,5,
810,1500,39.39,1887830,5,
810,1600,41.15,1887852,5,
810,1700,42.91,1887874,5,
810,1800,45.24,1887896,5,
810,1900,47,1887918,5,
810,2000,48.75,1887940,5,
810,2100,50.51,1887962,5,
810,2200,52.27,1887984,5,
810,2300,54.02,1888006,5,
810,2400,56.64,1888028,5,
810,2500,58.4,1888050,5,
810,2600,60.15,1888068,5,
810,2700,61.91,1888085,5,
810,2800,63.67,1888102,5,
810,2900,65.42,1888118,5,
810,3000,67.18,1888133,5,
810,3100,68.94,1888147,5,
810,3200,70.69,1888161,5,
810,3300,72.44,4304487,5,
810,3400,74.19,4304488,5,
910,600,26.94,1887633,5,
910,700,29.02,1887655,5,
910,800,31.1,1887677,5,
910,900,33.18,1887699,5,
910,1000,35.26,1887721,5,
910,1100,35.34,1887743,5,
910,1200,37.31,1887765,5,
910,1300,39.27,1887787,5,
910,1400,41.23,1887809,5,
910,1500,43.2,1887831,5,
910,1600,45.16,1887853,5,
910,1700,47.12,1887875,5,
910,1800,49.66,1887897,5,
910,1900,51.63,1887919,5,
910,2000,53.59,1887941,5,
910,2100,55.55,1887963,5,
910,2200,57.52,1887985,5,
910,2300,59.48,1888007,5,
910,2400,62.31,1888029,5,
910,2500,64.27,1888051,5,
910,2600,66.24,1888069,5,
910,2700,68.2,1888086,5,
910,2800,70.16,1888103,5,
910,2900,72.13,1888119,5,
910,3000,74.09,1888134,5,
910,3100,76.05,1888148,5,
910,3200,78.02,1888162,5,
910,3300,79.99,4304489,5,
910,3400,81.96,4304490,5,
1010,600,29.83,1887634,5,
1010,700,32.15,1887656,5,
1010,800,34.46,1887678,5,
1010,900,36.78,1887700,5,
1010,1000,36.99,1887722,5,
1010,1100,39.17,1887744,5,
1010,1200,41.36,1887766,5,
1010,1300,43.54,1887788,5,
1010,1400,45.72,1887810,5,
1010,1500,47.9,1887832,5,
1010,1600,50.09,1887854,5,
1010,1700,52.27,1887876,5,
1010,1800,55.03,1887898,5,
1010,1900,57.21,1887920,5,
1010,2000,59.39,1887942,5,
1010,2100,61.58,1887964,5,
1010,2200,63.76,1887986,5,
1010,2300,65.94,1888008,5,
1010,2400,68.99,1888030,5,
1010,2500,71.17,1888052,5,
1010,2600,73.35,1888070,5,
1010,2700,75.53,1888087,5,
1010,2800,77.72,1888104,5,
1010,2900,79.9,1888120,5,
1010,3000,82.08,1888135,5,
1010,3100,84.27,1888149,5,
1010,3200,86.45,1888163,5,
1010,3300,88.63,4304491,5,
1010,3400,90.81,4304492,5,
1110,600,31.89,1887635,5,
1110,700,34.42,1887657,5,
1110,800,36.96,1887679,5,
