Width,Drop,Cost,ID,prID
610,600,16.93,601092,4,
610,700,18.13,601114,4,
610,800,19.32,601136,4,
610,900,20.52,601158,4,
610,1000,21.72,601180,4,
610,1100,22.91,601202,4,
610,1200,24.11,601224,4,
610,1300,25.31,601246,4,
610,1400,26.5,601268,4,
610,1500,27.7,601290,4,
610,1600,28.9,601312,4,
610,1700,28.49,601334,4,
610,1800,30.11,601356,4,
610,1900,31.23,601378,4,
610,2000,32.36,601400,4,
610,2100,33.49,601422,4,
610,2200,34.62,601444,4,
610,2300,35.75,601466,4,
610,2400,37.61,601486,4,
610,2500,38.74,601505,4,
610,2600,39.87,601523,4,
610,2700,41,601540,4,
610,2800,42.13,601557,4,
610,2900,43.26,601573,4,
610,3000,44.39,601588,4,
610,3100,45.51,601602,4,
610,3200,46.64,601616,4,
710,600,19.37,601093,4,
710,700,20.76,601115,4,
710,800,22.16,601137,4,
710,900,23.55,601159,4,
710,1000,24.95,601181,4,
710,1100,26.34,601203,4,
710,1200,27.73,601225,4,
710,1300,29.13,601247,4,
710,1400,30.52,601269,4,
710,1500,30.21,601291,4,
710,1600,31.52,601313,4,
710,1700,32.84,601335,4,
710,1800,34.64,601357,4,
710,1900,35.95,601379,4,
710,2000,37.27,601401,4,
710,2100,38.58,601423,4,
710,2200,39.9,601445,4,
710,2300,41.22,601467,4,
710,2400,43.26,601487,4,
710,2500,44.58,601506,4,
710,2600,45.89,601524,4,
710,2700,47.21,601541,4,
710,2800,48.52,601558,4,
710,2900,49.84,601574,4,
710,3000,51.15,601589,4,
710,3100,52.47,601603,4,
710,3200,53.78,601617,4,
810,600,21.12,601094,4,
810,700,22.7,601116,4,
810,800,24.28,601138,4,
810,900,25.86,601160,4,
810,1000,27.44,601182,4,
810,1100,29.02,601204,4,
810,1200,30.6,601226,4,
810,1300,30.45,601248,4,
810,1400,31.94,601270,4,
810,1500,33.43,601292,4,
810,1600,34.93,601314,4,
810,1700,36.42,601336,4,
810,1800,38.4,601358,4,
810,1900,39.89,601380,4,
810,2000,41.38,601402,4,
810,2100,42.87,601424,4,
810,2200,44.36,601446,4,
810,2300,45.85,601468,4,
810,2400,48.07,601488,4,
810,2500,49.56,601507,4,
810,2600,51.05,601525,4,
810,2700,52.54,601542,4,
810,2800,54.04,601559,4,
810,2900,55.53,601575,4,
810,3000,57.02,601590,4,
810,3100,58.51,601604,4,
810,3200,60,601618,4,
910,600,22.86,601095,4,
910,700,24.63,601117,4,
910,800,26.39,601139,4,
910,900,28.16,601161,4,
910,1000,29.93,601183,4,
910,1100,30,601205,4,
910,1200,31.66,601227,4,
910,1300,33.33,601249,4,
910,1400,35,601271,4,
910,1500,36.66,601293,4,
910,1600,38.33,601315,4,
910,1700,40,601337,4,
910,1800,42.15,601359,4,
910,1900,43.82,601381,4,
910,2000,45.48,601403,4,
910,2100,47.15,601425,4,
910,2200,48.82,601447,4,
